社区,公服设施,住房,停车设施,交通设施,物业街面,总点数,总占比%,覆盖类数,排序,严重度
营盘路社区,4,0,23,0,10,37,3.94,3,1,较严重
峡江社区,10,7,18,0,0,35,3.73,3,2,较严重
深圳路社区,2,18,6,2,1,29,3.09,5,3,较严重
果园路社区,0,0,10,0,16,26,2.77,2,4,一般
宝联社区,1,0,0,0,25,26,2.77,2,5,一般
五龙社区,6,7,8,3,0,24,2.56,4,6,一般
铁路坝社区,1,0,16,1,3,21,2.24,4,7,一般
香锦社区,1,0,14,2,4,21,2.24,4,8,一般
桥北社区,1,10,6,0,3,20,2.13,4,9,一般
杨岔路社区,0,1,5,0,12,18,1.92,3,10,一般
幸福路社区,0,0,11,3,3,17,1.81,3,11,一般
桃花岭社区,1,0,8,0,7,16,1.7,3,12,一般
云池社区,16,0,0,0,0,16,1.7,1,13,一般
港务社区,0,7,1,0,7,15,1.6,3,14,一般
体育场路社区,2,0,11,0,2,15,1.6,3,15,一般
镇境山社区,2,3,8,1,1,15,1.6,5,16,一般
新隆康路社区,0,3,3,4,5,15,1.6,4,17,一般
樵湖岭社区,3,0,6,0,5,14,1.49,3,18,一般
南苑社区,7,0,3,0,3,13,1.38,3,19,一般
赵家湾社区,1,0,7,0,5,13,1.38,3,20,一般
常家湾社区,0,1,10,0,2,13,1.38,3,21,一般
平云社区,1,0,12,0,0,13,1.38,2,22,一般
红光社区,2,7,4,0,0,13,1.38,3,23,一般
长樵溪社区,10,0,3,0,0,13,1.38,2,24,一般
东门外正街社区,1,0,10,0,2,13,1.38,3,25,一般
镇平路社区,0,6,5,0,1,12,1.28,3,26,一般
张家店社区,0,0,0,0,12,12,1.28,1,27,一般
二马路社区,1,0,3,0,8,12,1.28,3,28,一般
金安岭社区,3,0,5,3,0,11,1.17,3,29,一般
山庄路社区,1,3,5,1,1,11,1.17,5,30,一般
气象台社区,1,0,3,0,6,10,1.06,3,31,一般
胜利四路社区,1,0,4,0,5,10,1.06,3,32,一般
绿萝路社区,1,0,8,0,1,10,1.06,3,33,一般
西峡社区,0,2,5,0,2,9,0.96,3,34,一般
四方堰社区,2,0,2,1,4,9,0.96,4,35,一般
建设社区,0,0,0,0,9,9,0.96,1,36,一般
上导堤社区,3,1,2,1,2,9,0.96,5,37,一般
东湖社区,1,7,0,0,0,8,0.85,2,38,一般
城东社区,0,0,1,0,7,8,0.85,2,39,一般
翁家堰社区,0,0,0,0,8,8,0.85,1,40,一般
夷陵路社区,1,0,2,0,5,8,0.85,3,41,一般
王家河社区,2,0,2,0,4,8,0.85,3,42,一般
