社区,楼栋数,体检点_2025,体检点_2026新增,体检点_全覆盖,诉求件_12345,客观高,主观高,两表重叠,客观档,主观档
竹涛山社区,35.0,1,0,1,5.0,False,False,False,,
江山社区,96.0,2,0,2,2.0,False,False,False,,
花溪路社区,31.0,0,0,0,72.0,False,True,False,,浅（50~99·每周约1件）
李家湖社区,38.0,1,0,1,15.0,False,False,False,,
四方堰社区,65.0,11,0,11,5.0,False,False,False,,
翁家堰社区,53.0,9,0,9,51.0,False,True,False,,浅（50~99·每周约1件）
唐家湾社区,15.0,1,0,1,31.0,False,False,False,,
望洲社区,425.0,3,0,3,12.0,False,False,False,,
峡州社区,34.0,6,0,6,1.0,False,False,False,,
常家湾社区,82.0,27,0,27,7.0,True,False,False,浅（15~29）,
金安岭社区,56.0,84,0,84,20.0,True,False,False,深（≥60）,
平湖馨苑社区,46.0,2,0,2,6.0,False,False,False,,
镇境山社区,78.0,82,0,82,5.0,True,False,False,深（≥60）,
镇平路社区,203.0,26,0,26,,True,False,False,浅（15~29）,
白龙井社区,111.0,4,0,4,55.0,False,True,False,,浅（50~99·每周约1件）
绿萝路社区,52.0,31,0,31,61.0,True,True,True,中（30~59）,浅（50~99·每周约1件）
茶庵社区,167.0,0,0,0,,False,False,False,,
福久源社区,59.0,0,0,0,8.0,False,False,False,,
解放路社区,50.0,5,0,5,10.0,False,False,False,,
长樵溪社区,51.0,14,0,14,3.0,False,False,False,,
鑫鼎社区,8.0,1,0,1,42.0,False,False,False,,
气象台社区,69.0,11,0,11,47.0,False,False,False,,
石板溪社区,80.0,3,0,3,53.0,False,True,False,,浅（50~99·每周约1件）
铁路坝社区,56.0,25,0,25,7.0,True,False,False,浅（15~29）,
胡家冲社区,53.0,1,0,1,83.0,False,True,False,,浅（50~99·每周约1件）
松林路社区,11.0,0,0,0,1.0,False,False,False,,
青岛路社区,35.0,4,0,4,24.0,False,False,False,,
南苑社区,122.0,13,0,13,5.0,False,False,False,,
山河园路社区,31.0,3,0,3,22.0,False,False,False,,
艾家嘴社区,166.0,4,0,4,76.0,False,True,False,,浅（50~99·每周约1件）
古塔社区,68.0,2,0,2,50.0,False,True,False,,浅（50~99·每周约1件）
东山花园社区,100.0,3,0,3,32.0,False,False,False,,
城东社区,109.0,16,0,16,3.0,True,False,False,浅（15~29）,
廖家湾社区,36.0,0,0,0,2.0,False,False,False,,
学堂湾社区,62.0,10,0,10,38.0,False,False,False,,
叶家坝社区,26.0,7,0,7,7.0,False,False,False,,
汕头路社区,39.0,17,0,17,107.0,True,True,True,浅（15~29）,中（100~199·每周约2件）
深圳路社区,127.0,107,0,107,7.0,True,False,False,深（≥60）,
珠海路社区,42.0,5,0,5,74.0,False,True,False,,浅（50~99·每周约1件）
苏家榜社区,70.0,13,0,13,13.0,False,False,False,,
王家坝社区,94.0,0,0,0,38.0,False,False,False,,
长江社区,55.0,6,0,6,20.0,False,False,False,,
东锦苑社区,38.0,0,0,0,2.0,False,False,False,,
白家冲社区,66.0,0,0,0,76.0,False,True,False,,浅（50~99·每周约1件）
韩家坝社区,40.0,17,0,17,42.0,True,False,False,浅（15~29）,
合益路社区,54.0,20,0,20,57.0,True,True,True,浅（15~29）,浅（50~99·每周约1件）
宝联社区,94.0,29,0,29,156.0,True,True,True,浅（15~29）,中（100~199·每周约2件）
东星社区,30.0,0,0,0,64.0,False,True,False,,浅（50~99·每周约1件）
魏家湾社区,103.0,0,0,0,66.0,False,True,False,,浅（50~99·每周约1件）
