board,指标,社区,点数,占比
民生基础需求,非成套住宅数量（套）,石子岭社区,1,0.0323
民生基础需求,非成套住宅数量（套）,常家湾社区,1,0.0323
民生基础需求,需要进行适老化改造的住宅数量（栋）,深圳路社区,18,0.4615
民生基础需求,需要进行适老化改造的住宅数量（栋）,港务社区,7,0.1795
民生基础需求,需要进行适老化改造的住宅数量（栋）,镇境山社区,3,0.0769
民生基础需求,需要进行适老化改造的住宅数量（栋）,山庄路社区,3,0.0769
民生基础需求,需要进行适老化改造的住宅数量（栋）,新隆康路社区,3,0.0769
民生基础需求,需要进行适老化改造的住宅数量（栋）,苏家榜社区,2,0.0513
民生基础需求,需要进行适老化改造的住宅数量（栋）,西峡社区,2,0.0513
民生基础需求,需要进行适老化改造的住宅数量（栋）,杨岔路社区,1,0.0256
民生基础需求,未达标配建的多功能运动场地数量（个）,环城北路社区,1,0.1667
民生基础需求,未达标配建的多功能运动场地数量（个）,上导堤社区,1,0.1667
民生基础需求,未达标配建的多功能运动场地数量（个）,船柴社区,1,0.1667
民生基础需求,未达标配建的多功能运动场地数量（个）,胜利四路社区,1,0.1667
民生基础需求,未达标配建的多功能运动场地数量（个）,汕头路社区,1,0.1667
民生基础需求,未达标配建的多功能运动场地数量（个）,土门村,1,0.1667
民生基础需求,存在乱停乱放车辆问题的道路数量（条）,柏临河路社区,1,0.2
民生基础需求,存在乱停乱放车辆问题的道路数量（条）,花艳社区,1,0.2
民生基础需求,存在乱停乱放车辆问题的道路数量（条）,竹涛山社区,1,0.2
民生基础需求,存在乱停乱放车辆问题的道路数量（条）,二马路社区,1,0.2
民生基础需求,存在乱停乱放车辆问题的道路数量（条）,峡州社区,1,0.2
