村名,投诉数,占比%
共勤村,510,23.38
汉宜村,366,16.78
旭光村,362,16.6
火光村,245,11.23
共和村,190,8.71
合益村,136,6.24
共联村,90,4.13
土门村,55,2.52
共同村,48,2.2
联丰村,42,1.93
共前村,33,1.51
共升村,27,1.24
共强村,21,0.96
共谊村,20,0.92
车站村,16,0.73
梅花村,13,0.6
灵宝村,6,0.28
前坪村,1,0.05
