board,类,社区,投诉数,占比%
民生基础需求,施工管理,平湖馨苑社区,1,0.6
民生基础需求,施工管理,兴安社区,1,0.6
民生基础需求,施工管理,果园路社区,1,0.6
民生基础需求,施工管理,枫香树社区,1,0.6
民生基础需求,施工管理,环城东路社区,1,0.6
民生基础需求,物业管理,万达社区,30,6.7
民生基础需求,物业管理,伍临路社区,29,6.5
民生基础需求,物业管理,港务社区,25,5.6
民生基础需求,物业管理,张家湾社区,19,4.3
民生基础需求,物业管理,岳湾路社区,18,4.0
民生基础需求,物业管理,建设社区,14,3.1
民生基础需求,物业管理,枫香树社区,14,3.1
民生基础需求,物业管理,艾家嘴社区,12,2.7
民生基础需求,物业管理,朝阳路社区,12,2.7
民生基础需求,物业管理,花溪路社区,11,2.5
民生基础需求,物业管理,胜利二路社区,11,2.5
民生基础需求,物业管理,胜利四路社区,11,2.5
民生基础需求,物业管理,中南路社区,10,2.2
民生基础需求,物业管理,大学路社区,10,2.2
民生基础需求,物业管理,营盘路社区,9,2.0
民生基础需求,物业管理,白马山社区,8,1.8
民生基础需求,物业管理,体育场路社区,7,1.6
民生基础需求,物业管理,白沙路社区,7,1.6
民生基础需求,物业管理,东站路社区,6,1.3
民生基础需求,物业管理,白家冲社区,6,1.3
民生基础需求,物业管理,沈家店社区,6,1.3
民生基础需求,物业管理,柏临河路社区,6,1.3
民生基础需求,物业管理,合益路社区,5,1.1
民生基础需求,物业管理,磨盘社区,5,1.1
民生基础需求,物业管理,魏家湾社区,5,1.1
民生基础需求,物业管理,果园路社区,5,1.1
民生基础需求,物业管理,东城社区,5,1.1
民生基础需求,物业管理,金家台社区,5,1.1
民生基础需求,物业管理,白沙脑社区,4,0.9
民生基础需求,物业管理,东星社区,4,0.9
民生基础需求,物业管理,古塔社区,4,0.9
民生基础需求,物业管理,鑫鼎社区,4,0.9
民生基础需求,物业管理,宝联社区,4,0.9
民生基础需求,物业管理,东湖社区,4,0.9
民生基础需求,物业管理,常刘路社区,4,0.9
民生基础需求,物业管理,小林园社区,4,0.9
民生基础需求,物业管理,桔城路社区,4,0.9
民生基础需求,物业管理,翁家堰社区,3,0.7
民生基础需求,物业管理,八一路社区,3,0.7
民生基础需求,物业管理,香锦社区,3,0.7
民生基础需求,物业管理,石板溪社区,3,0.7
民生基础需求,物业管理,气象台社区,3,0.7
民生基础需求,物业管理,珠海路社区,3,0.7
民生基础需求,物业管理,大堰湾社区,3,0.7
民生基础需求,物业管理,沙河社区,3,0.7
民生基础需求,物业管理,临江溪社区,3,0.7
民生基础需求,物业管理,汕头路社区,3,0.7
民生基础需求,物业管理,港虹社区,3,0.7
民生基础需求,物业管理,船柴社区,3,0.7
民生基础需求,物业管理,韩家坝社区,3,0.7
民生基础需求,物业管理,蔡家畈社区,3,0.7
民生基础需求,物业管理,金安岭社区,3,0.7
民生基础需求,物业管理,绿萝路社区,3,0.7
民生基础需求,物业管理,东山社区,2,0.4
民生基础需求,物业管理,西峡社区,2,0.4
民生基础需求,物业管理,兴安社区,2,0.4
民生基础需求,物业管理,三峡物流园社区,2,0.4
民生基础需求,物业管理,张家店社区,2,0.4
民生基础需求,物业管理,北山坡社区,2,0.4
民生基础需求,物业管理,黄金卡社区,2,0.4
民生基础需求,物业管理,黄河路社区,2,0.4
民生基础需求,物业管理,红光社区,2,0.4
民生基础需求,物业管理,山河园路社区,2,0.4
民生基础需求,物业管理,石板社区,2,0.4
民生基础需求,物业管理,赵家湾社区,1,0.2
民生基础需求,物业管理,龙盘湖社区,1,0.2
民生基础需求,物业管理,解放路社区,1,0.2
民生基础需求,物业管理,望洲社区,1,0.2
民生基础需求,物业管理,刘家大堰社区,1,0.2
民生基础需求,物业管理,冯家湾社区,1,0.2
民生基础需求,物业管理,甲街社区,1,0.2
民生基础需求,物业管理,青岛路社区,1,0.2
民生基础需求,物业管理,石板冲社区,1,0.2
民生基础需求,物业管理,山庄路社区,1,0.2
民生基础需求,物业管理,六泉湖社区,1,0.2
民生基础需求,物业管理,常家湾社区,1,0.2
民生基础需求,物业管理,朱市街社区,1,0.2
民生基础需求,物业管理,五龙社区,1,0.2
民生基础需求,物业管理,平云社区,1,0.2
民生基础需求,物业管理,张家坡社区,1,0.2
民生基础需求,物业管理,东艳路社区,1,0.2
民生基础需求,物业管理,徐家坝社区,1,0.2
民生基础需求,物业管理,英雄山社区,1,0.2
民生基础需求,物业管理,新隆康路社区,1,0.2
民生基础需求,物业管理,苏家榜社区,1,0.2
民生基础需求,物业管理,杨岔路社区,1,0.2
民生基础需求,物业管理,东门外正街社区,1,0.2
民生基础需求,物业管理,土城路社区,1,0.2
民生基础需求,物业管理,胡家冲社区,1,0.2
民生基础需求,物业管理,花艳社区,1,0.2
民生基础需求,物业管理,白龙井社区,1,0.2
民生基础需求,物业管理,桐岭新村社区,1,0.2
民生基础需求,环境治理,港务社区,58,13.6
民生基础需求,环境治理,万达社区,25,5.9
民生基础需求,环境治理,建设社区,18,4.2
民生基础需求,环境治理,大学路社区,17,4.0
民生基础需求,环境治理,体育场路社区,14,3.3
民生基础需求,环境治理,伍临路社区,13,3.0
民生基础需求,环境治理,营盘路社区,13,3.0
民生基础需求,环境治理,胜利四路社区,12,2.8
民生基础需求,环境治理,张家湾社区,11,2.6
民生基础需求,环境治理,宝联社区,9,2.1
民生基础需求,环境治理,金斗山社区,9,2.1
民生基础需求,环境治理,白家冲社区,8,1.9
民生基础需求,环境治理,朝阳路社区,8,1.9
民生基础需求,环境治理,小林园社区,8,1.9
民生基础需求,环境治理,岳湾路社区,7,1.6
民生基础需求,环境治理,艾家嘴社区,7,1.6
民生基础需求,环境治理,花溪路社区,6,1.4
民生基础需求,环境治理,花艳社区,6,1.4
民生基础需求,环境治理,气象台社区,6,1.4
民生基础需求,环境治理,山庄路社区,5,1.2
民生基础需求,环境治理,杨岔路社区,5,1.2
民生基础需求,环境治理,石板溪社区,5,1.2
民生基础需求,环境治理,西峡社区,5,1.2
民生基础需求,环境治理,胜利二路社区,5,1.2
民生基础需求,环境治理,八一路社区,5,1.2
民生基础需求,环境治理,东星社区,4,0.9
民生基础需求,环境治理,绿萝路社区,4,0.9
民生基础需求,环境治理,磨盘社区,4,0.9
民生基础需求,环境治理,五龙社区,4,0.9
民生基础需求,环境治理,唐家湾社区,4,0.9
民生基础需求,环境治理,翁家堰社区,4,0.9
民生基础需求,环境治理,常刘路社区,4,0.9
民生基础需求,环境治理,叶家坝社区,4,0.9
民生基础需求,环境治理,柏临河路社区,4,0.9
民生基础需求,环境治理,蔡家畈社区,4,0.9
民生基础需求,环境治理,白沙路社区,4,0.9
民生基础需求,环境治理,张家店社区,4,0.9
民生基础需求,环境治理,胡家冲社区,3,0.7
民生基础需求,环境治理,沈家店社区,3,0.7
民生基础需求,环境治理,果园路社区,3,0.7
民生基础需求,环境治理,枫香树社区,3,0.7
民生基础需求,环境治理,桃花岭社区,3,0.7
民生基础需求,环境治理,东站路社区,3,0.7
民生基础需求,环境治理,北山坡社区,2,0.5
民生基础需求,环境治理,黄河路社区,2,0.5
民生基础需求,环境治理,学堂湾社区,2,0.5
民生基础需求,环境治理,金安岭社区,2,0.5
民生基础需求,环境治理,肖家岗社区,2,0.5
民生基础需求,环境治理,珠海路社区,2,0.5
民生基础需求,环境治理,六泉湖社区,2,0.5
民生基础需求,环境治理,桔城路社区,2,0.5
民生基础需求,环境治理,东城社区,2,0.5
民生基础需求,环境治理,魏家湾社区,2,0.5
民生基础需求,环境治理,东山花园社区,2,0.5
民生基础需求,环境治理,大树湾社区,2,0.5
民生基础需求,环境治理,韩家坝社区,2,0.5
民生基础需求,环境治理,环城东路社区,2,0.5
民生基础需求,环境治理,东门外正街社区,2,0.5
民生基础需求,环境治理,中南路社区,2,0.5
民生基础需求,环境治理,黄金卡社区,2,0.5
民生基础需求,环境治理,黄龙寺社区,2,0.5
民生基础需求,环境治理,白龙井社区,2,0.5
民生基础需求,环境治理,桐岭社区,2,0.5
民生基础需求,环境治理,沙河社区,2,0.5
民生基础需求,环境治理,鑫鼎社区,2,0.5
民生基础需求,环境治理,夷陵路社区,2,0.5
民生基础需求,环境治理,香锦社区,2,0.5
民生基础需求,环境治理,南苑社区,2,0.5
民生基础需求,环境治理,望洲社区,1,0.2
民生基础需求,环境治理,临江溪社区,1,0.2
民生基础需求,环境治理,土城路社区,1,0.2
民生基础需求,环境治理,金家台社区,1,0.2
民生基础需求,环境治理,张家坡社区,1,0.2
民生基础需求,环境治理,东湖社区,1,0.2
民生基础需求,环境治理,朱市街社区,1,0.2
民生基础需求,环境治理,云池社区,1,0.2
民生基础需求,环境治理,新隆康路社区,1,0.2
民生基础需求,环境治理,谭家河社区,1,0.2
民生基础需求,环境治理,三峡物流园社区,1,0.2
民生基础需求,环境治理,红光社区,1,0.2
民生基础需求,环境治理,合益路社区,1,0.2
民生基础需求,环境治理,锦绣社区,1,0.2
民生基础需求,环境治理,深圳路社区,1,0.2
民生基础需求,环境治理,城东社区,1,0.2
民生基础需求,环境治理,王家坝社区,1,0.2
民生基础需求,环境治理,石板社区,1,0.2
民生基础需求,环境治理,二马路社区,1,0.2
民生基础需求,环境治理,新金岭社区,1,0.2
民生基础需求,环境治理,鸡山社区,1,0.2
民生基础需求,环境治理,锦云社区,1,0.2
民生基础需求,环境治理,山河园路社区,1,0.2
民生基础需求,环境治理,白沙脑社区,1,0.2
民生基础需求,环境治理,船柴社区,1,0.2
民生基础需求,环境治理,解放路社区,1,0.2
民生基础需求,街面秩序,万达社区,26,12.3
民生基础需求,街面秩序,建设社区,17,8.0
民生基础需求,街面秩序,港务社区,16,7.5
民生基础需求,街面秩序,大学路社区,11,5.2
民生基础需求,街面秩序,宝联社区,10,4.7
民生基础需求,街面秩序,枫香树社区,9,4.2
民生基础需求,街面秩序,岳湾路社区,6,2.8
民生基础需求,街面秩序,果园路社区,6,2.8
民生基础需求,街面秩序,沈家店社区,6,2.8
民生基础需求,街面秩序,合益路社区,5,2.4
民生基础需求,街面秩序,白沙路社区,5,2.4
民生基础需求,街面秩序,鑫鼎社区,5,2.4
民生基础需求,街面秩序,胡家冲社区,4,1.9
民生基础需求,街面秩序,伍临路社区,4,1.9
民生基础需求,街面秩序,胜利四路社区,4,1.9
民生基础需求,街面秩序,小林园社区,4,1.9
民生基础需求,街面秩序,石板溪社区,3,1.4
民生基础需求,街面秩序,锦湖社区,3,1.4
民生基础需求,街面秩序,艾家嘴社区,3,1.4
民生基础需求,街面秩序,白马山社区,3,1.4
民生基础需求,街面秩序,虎牙社区,3,1.4
民生基础需求,街面秩序,东星社区,3,1.4
民生基础需求,街面秩序,营盘路社区,3,1.4
民生基础需求,街面秩序,体育场路社区,3,1.4
民生基础需求,街面秩序,朝阳路社区,3,1.4
民生基础需求,街面秩序,王家坝社区,3,1.4
民生基础需求,街面秩序,临江溪社区,2,0.9
民生基础需求,街面秩序,古塔社区,2,0.9
民生基础需求,街面秩序,韩家坝社区,2,0.9
民生基础需求,街面秩序,珠海路社区,2,0.9
民生基础需求,街面秩序,西峡社区,2,0.9
民生基础需求,街面秩序,白龙井社区,2,0.9
民生基础需求,街面秩序,黄金卡社区,2,0.9
民生基础需求,街面秩序,东城社区,2,0.9
民生基础需求,街面秩序,白沙脑社区,2,0.9
民生基础需求,街面秩序,磨盘社区,2,0.9
民生基础需求,街面秩序,香锦社区,1,0.5
民生基础需求,街面秩序,六泉湖社区,1,0.5
民生基础需求,街面秩序,常刘路社区,1,0.5
民生基础需求,街面秩序,白家冲社区,1,0.5
民生基础需求,街面秩序,肖家岗社区,1,0.5
民生基础需求,街面秩序,红光社区,1,0.5
民生基础需求,街面秩序,张家湾社区,1,0.5
民生基础需求,街面秩序,新隆康路社区,1,0.5
民生基础需求,街面秩序,胜利二路社区,1,0.5
民生基础需求,街面秩序,金家台社区,1,0.5
民生基础需求,街面秩序,黄河路社区,1,0.5
民生基础需求,街面秩序,张家店社区,1,0.5
民生基础需求,街面秩序,柏临河路社区,1,0.5
民生基础需求,街面秩序,桃花岭社区,1,0.5
民生基础需求,街面秩序,徐家坝社区,1,0.5
民生基础需求,街面秩序,花溪路社区,1,0.5
民生基础需求,街面秩序,八一路社区,1,0.5
民生基础需求,街面秩序,大堰湾社区,1,0.5
民生基础需求,街面秩序,翁家堰社区,1,0.5
民生基础需求,街面秩序,常家湾社区,1,0.5
民生基础需求,街面秩序,三峡物流园社区,1,0.5
民生基础需求,街面秩序,气象台社区,1,0.5
民生基础需求,街面秩序,蔡家畈社区,1,0.5
民生基础需求,街面秩序,铁路坝社区,1,0.5
