社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
香锦社区,13,21,33,148,67,0.5875582183498853,0.03743570069320851,19.402985074626866,31.343283582089555,492.5373134328358,2208.9552238805973,908.2239512126508,4834.9569167497,18.898108793831188,28.52154748935073,482.6152877724719,2202.6557930766467,0.9145569620253164,1,1,0
汕头路社区,14,3,48,597,39,3.180385339188553,0.030673913740386145,35.8974358974359,7.6923076923076925,1230.769230769231,15307.692307692309,554.2168548781343,21027.639493905685,34.116568752048934,7.02863962662086,1184.735938367872,15218.892102939935,0.8876582278481012,2,4,2
果园路社区,25,26,23,104,93,0.43476168298271195,0.05069830836913655,26.881720430107524,27.956989247311824,247.31182795698925,1118.279569892473,1005.9507238124557,2505.014547532978,26.33089041820143,26.120160356380634,244.2899450536191,1116.4700784169374,0.879746835443038,3,2,-1
赵家湾社区,13,13,15,44,44,0.32115911278496106,0.024782028440730734,29.545454545454547,29.545454545454547,340.9090909090909,1000.0,1049.1473715391053,2380.7574969541233,28.277623156635773,25.730329399421965,331.3365108062523,996.8107906614691,0.879746835443038,4,8,4
胜利二路社区,6,3,24,188,30,0.2937001635977891,0.02452748304573265,20.0,10.0,800.0,6266.666666666667,366.93532651593625,8643.365469042054,18.874300824258228,8.711386661707925,762.8026454084288,6221.300397472865,0.8718354430379747,5,21,16
胜利四路社区,6,10,20,78,44,0.23648954935887614,0.028462761028837474,13.636363636363635,22.727272727272727,454.5454545454545,1772.7272727272727,562.1380154858961,3443.0953448511136,13.172223789886528,19.91546970108684,440.96122181996213,1765.4565107681858,0.8718354430379747,6,10,4
宝联社区,3,26,52,414,94,0.722575362722934,0.05159950629725509,3.1914893617021276,27.659574468085108,553.1914893617021,4404.255319148936,562.0208812258093,9031.094160387142,3.2220391713659526,25.863051814005356,545.0499451054603,4394.317794947515,0.8718354430379747,7,20,13
港务社区,2,15,168,985,106,0.29778494658391214,0.05096656393850951,1.8867924528301887,14.150943396226415,1584.9056603773586,9292.45283018868,333.5520130513463,22622.67476754131,1.9421505625622528,13.447061801119457,1562.234626479411,9272.887090094397,0.8575949367088608,8,5,-3
韩家坝社区,11,6,9,50,40,0.20911868765890884,0.032857305456293895,27.500000000000004,15.0,225.0,1250.0,517.3887439617666,1795.6432878673077,26.225488962519606,13.184540116138924,218.9924443287835,1245.0419360313456,0.8433544303797468,9,16,7
桃花岭社区,15,16,19,69,90,0.14163022983547316,0.04282530586686541,16.666666666666664,17.77777777777778,211.11111111111111,766.6666666666667,723.871070445411,2054.8598128772956,16.356914887283956,16.676354396483244,208.62653869067088,765.7074483783601,0.8196202531645569,10,3,-7
临江溪社区,0,1,13,133,8,0.9191560971757422,0.00506865998176888,0.0,12.5,1625.0,16625.0,1.0879544868087847,158.84135507408257,1.0071150452467172,8.175886681733518,1364.4223419337586,16164.482730870866,0.805379746835443,11,52,41
体育场路社区,4,15,24,94,89,1.0090519358675896,0.04608713399192749,4.49438202247191,16.853932584269664,269.6629213483146,1056.1797752808989,412.2625634158113,2560.367499108723,4.49321134994745,15.813718966649867,266.11045504379973,1054.451768610572,0.8037974683544304,12,7,-5
金安岭社区,73,11,9,11,56,0.19030687452416517,0.039858009424470375,130.35714285714286,19.642857142857142,160.71428571428572,196.42857142857142,2107.4810612200104,501.7812050523834,125.30482706484254,17.72988460854429,158.17193198689574,197.25864569796565,0.7990506329113924,13,12,-1
花艳社区,0,2,45,182,23,1.5914616182016916,0.013841282469171257,0.0,8.695652173913043,1956.5217391304348,7913.043478260869,144.4952810156579,16400.21439527717,0.4109784078275453,7.4358784780572575,1833.0770550991676,7837.452611497718,0.7832278481012658,14,37,23
东门外正街社区,22,13,4,9,52,0.18603485670994463,0.03710121685270978,42.30769230769231,25.0,76.92307692307693,173.07692307692307,943.3652847276811,350.39282004171014,40.67670396220349,22.27612785077105,76.70765870684814,174.07501616308173,0.7768987341772152,15,17,2
杨岔路社区,3,18,8,44,63,0.384383215872779,0.03018751546953986,4.761904761904762,28.57142857142857,126.98412698412697,698.4126984126983,695.6518174272954,1722.566405058065,4.750683432905746,25.887907424651026,125.55780898865437,697.2960976783921,0.7753164556962024,16,18,2
