事件3类,board,project_type,中类_归,小类_归,件数,事件占比%
求助+咨询,民生基础需求,噪声治理,建筑施工噪声,施工噪声扰民,55,0.09614208051462234
求助+咨询,民生基础需求,噪声治理,建筑施工噪声,施工车辆噪声,2,0.003496075655077176
求助+咨询,民生基础需求,噪声治理,建筑施工噪声,爆破噪声,2,0.003496075655077176
求助+咨询,民生基础需求,噪声治理,生活噪声,宠物噪声,6,0.010488226965231528
求助+咨询,民生基础需求,噪声治理,生活噪声,室内噪声,5,0.00874018913769294
求助+咨询,民生基础需求,噪声治理,生活噪声,家禽噪声扰民,3,0.005244113482615764
求助+咨询,民生基础需求,噪声治理,生活噪声,广场舞噪声,13,0.022724491758001644
求助+咨询,民生基础需求,噪声治理,生活噪声,装修噪声,17,0.029716643068155992
求助+咨询,民生基础需求,噪声治理,生活噪声,邻里噪声,21,0.036708794378310344
求助+咨询,民生基础需求,噪声治理,生活噪声,高音喇叭噪声,22,0.03845683220584894
求助+咨询,民生基础需求,城市更新,住房房产,危房改造问题,105,0.18354397189155172
求助+咨询,民生基础需求,城市更新,住房房产,老旧小区改造问题,180,0.3146468089569458
求助+咨询,民生基础需求,城市更新,违规建（构）筑物,改变地下房屋用途,1,0.001748037827538588
求助+咨询,民生基础需求,城市更新,违规建（构）筑物,改变房屋结构,6,0.010488226965231528
求助+咨询,民生基础需求,城市更新,违规建（构）筑物,违法搭建（已建成）,96,0.16781163144370445
求助+咨询,民生基础需求,城市更新,违规建（构）筑物,违法搭建（正在或即将进行）,18,0.03146468089569458
求助+咨询,民生基础需求,市政管网,供气服务,燃气气压问题投诉,2,0.003496075655077176
求助+咨询,民生基础需求,市政管网,供水服务,水压问题投诉,21,0.036708794378310344
求助+咨询,民生基础需求,市政管网,供水服务,水质问题投诉,20,0.03496075655077176
求助+咨询,民生基础需求,施工管理,施工管理问题,不文明施工（无围挡、物料乱堆、工地扬尘、存在安全隐患）,99,0.17305574492632023
求助+咨询,民生基础需求,施工管理,施工管理问题,施工造成道路破损,14,0.02447252958554023
求助+咨询,民生基础需求,施工管理,施工管理问题,渣土车道路遗撒,6,0.010488226965231528
求助+咨询,民生基础需求,施工管理,施工管理问题,道路施工遗留障碍,15,0.026220567413078818
求助+咨询,民生基础需求,物业管理,小区管理,下水道破损问题,33,0.0576852483087734
求助+咨询,民生基础需求,物业管理,小区管理,小区停车,157,0.27444193892355834
求助+咨询,民生基础需求,物业管理,小区管理,小区垃圾清运问题,87,0.15207929099585715
求助+咨询,民生基础需求,物业管理,小区管理,小区绿化问题,43,0.07516562658415929
求助+咨询,民生基础需求,环境治理,公厕管理问题,公共厕所、流动厕所不洁,2,0.003496075655077176
求助+咨询,民生基础需求,环境治理,公厕管理问题,公共厕所设施破损,26,0.04544898351600329
求助+咨询,民生基础需求,环境治理,公厕管理问题,公厕指示牌破损,2,0.003496075655077176
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,供水器破损,1,0.001748037827538588
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,古树(维护设施)破损,5,0.00874018913769294
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,护树设施破损,15,0.026220567413078818
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,景观小品破损,10,0.01748037827538588
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,绿化护栏破损,19,0.03321271872323317
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,绿地枯死、杂草丛生、黄土裸露,72,0.12585872358277833
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,花架、花钵缺株、破损,10,0.01748037827538588
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,行道树死株、倒伏、断枝,243,0.42477319209187686
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,街头坐椅破损,9,0.01573234044784729
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,雕塑破损,1,0.001748037827538588
求助+咨询,民生基础需求,环境治理,园林绿化设施问题,非法占用绿地、损毁植被,12,0.020976453930463056
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,动物尸体清理,13,0.022724491758001644
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,动物粪便清理,5,0.00874018913769294
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,垃圾中转站破损、脏污、异味,4,0.006992151310154352
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,垃圾收集设施满溢,12,0.020976453930463056
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,垃圾间（房）破损、脏污、异味,9,0.01573234044784729
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,废弃家具杂物,250,0.437009456884647
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,暴露生活垃圾,106,0.18529200971909032
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,果皮箱、分类垃圾桶破损、脏污、异味,36,0.06292936179138917
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,水域及周边不洁,3,0.005244113482615764
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,生活垃圾清运车辆管理,17,0.029716643068155992
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,积存建筑垃圾渣土,60,0.10488226965231527
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,绿地不洁,7,0.012236264792770115
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,路面不洁、积灰、积油,35,0.06118132396385058
求助+咨询,民生基础需求,环境治理,垃圾清理及环卫设施问题,集贸市场环境卫生问题,2,0.003496075655077176
求助+咨询,民生基础需求,环境治理,环境污染纠纷,违规排放水污染物,3,0.005244113482615764
求助+咨询,民生基础需求,街面秩序,立面管理问题,沿街立面脏、缺、损,18,0.03146468089569458
求助+咨询,民生基础需求,街面秩序,立面管理问题,立面违规安装设施,3,0.005244113482615764
求助+咨询,民生基础需求,街面秩序,街面秩序管理问题,油烟污染,25,0.0437009456884647
求助+咨询,民生基础需求,街面秩序,街面秩序管理问题,电子显示屏、景观灯、施工场地灯光等光污染,12,0.020976453930463056
求助+咨询,民生基础需求,街面秩序,街面秩序管理问题,违法排放污水,9,0.01573234044784729
求助+咨询,民生基础需求,街面秩序,违规广告及广告牌破损,户外广告（含霓虹灯、电子显示屏、灯箱广告等）破损,12,0.020976453930463056
求助+咨询,民生基础需求,街面秩序,违规广告及广告牌破损,违规大型户外广告,6,0.010488226965231528
求助+咨询,民生基础需求,街面秩序,违规广告及广告牌破损,违规设置条幅、灯箱、牌匾等其他广告,6,0.010488226965231528
求助+咨询,民生基础需求,街面秩序,违规广告及广告牌破损,门头、招牌破损,37,0.06467739961892775
求助+咨询,民生基础需求,街面秩序,违规广告及广告牌破损,非法涂写张贴小广告,5,0.00874018913769294
