社区,住宅,停车,出行,出行安全,噪声,消防安全,物业,环境安全,管网安全
廖家湾社区,0,1,0,0,1,0,0,0,0
建设社区,89,23,20,12,150,12,38,1,27
张家坡社区,12,5,4,6,9,3,2,0,1
张家店社区,13,3,3,4,36,2,7,0,4
张家湾社区,14,41,23,13,46,2,35,0,13
徐家坝社区,5,5,1,3,19,3,1,0,0
新金岭社区,1,1,3,2,1,0,1,0,0
新隆康路社区,14,10,12,4,8,1,11,0,4
望洲社区,1,1,0,4,3,0,2,0,1
朝阳社区,15,0,0,1,12,0,1,0,2
朝阳路社区,158,60,42,15,189,9,87,1,33
朱市街社区,3,5,13,2,3,0,2,0,8
李家湖社区,3,3,0,0,6,0,0,0,3
杨岔路社区,5,6,4,1,7,1,6,0,1
松林路社区,0,0,0,0,1,0,0,0,0
果园路社区,21,3,3,2,27,3,8,0,6
枫香树社区,39,22,12,4,23,5,19,0,2
柏临河路社区,13,16,9,6,20,4,14,0,6
桃花岭社区,3,4,0,1,1,0,3,0,3
桐岭新村社区,1,1,1,0,0,0,2,0,1
桐岭社区,4,6,1,0,5,0,2,0,3
桔城路社区,5,11,3,2,2,0,6,0,2
梅子溪社区,0,0,1,0,0,0,2,1,2
樵湖岭社区,0,0,1,0,0,0,0,0,0
气象台社区,4,1,1,1,12,1,14,0,13
汕头路社区,64,2,12,3,8,2,11,0,5
江山社区,0,0,0,0,1,1,0,0,0
沈家店社区,18,4,4,1,44,1,11,0,0
沙河社区,6,4,12,8,12,1,5,0,6
润城社区,0,0,0,0,0,0,1,0,0
深圳路社区,4,1,1,0,0,0,1,0,0
港务社区,79,48,11,17,103,13,93,0,53
港虹社区,5,18,3,1,11,2,10,0,2
王家坝社区,3,4,3,0,23,2,2,0,1
王家河社区,0,1,3,0,1,0,0,0,1
环城东路社区,4,2,0,1,2,0,3,0,2
珠海路社区,13,14,2,2,23,1,10,0,9
甲街社区,0,0,0,0,0,0,1,0,0
白家冲社区,3,21,9,4,15,3,17,0,4
白沙脑社区,5,1,1,1,5,0,5,0,0
白沙路社区,13,7,5,5,21,0,11,0,3
白马山社区,10,4,4,1,19,0,9,0,0
白龙井社区,12,9,12,4,8,0,6,0,4
石子岭社区,0,0,0,0,0,0,0,0,2
石板冲社区,1,0,0,0,1,0,1,0,1
